Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000067702.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; water screened; indeterminate
000067703.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067704.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; indeterminate
000067705.0000,PREHISTORIC,ANIMAL,BONE,auditory bulla,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067706.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,39.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067707.0000,PREHISTORIC,ANIMAL,BONE,astragalus,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067708.0000,PREHISTORIC,ANIMAL,BONE,unidentified,tooth,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067709.0000,PREHISTORIC,ANIMAL,BONE,right radius,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,distal end- right radius; fragment
000067710.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,85.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067711.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067712.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; water screen
000067713.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067714.0000,PREHISTORIC,ANIMAL,BONE,left tibia,bone,white-tailed deer,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,left tibia- immature; from 10 liters; heavy fraction
000067715.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,12.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate; from 9 liters; flotation; heavy fraction
000067716.0000,PREHISTORIC,ANIMAL,BONE,metatarsus,bone,white-tailed deer,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,proximal end- left side
000067717.0000,PREHISTORIC,ANIMAL,BONE,right calcaneum,bone,white-tailed deer,7.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcaneum- right
000067718.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,33.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067719.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067720.0000,PREHISTORIC,ANIMAL,BONE,non-long bone,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067721.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067722.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,25.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067723.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067724.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,19.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067725.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067726.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
